iter	Passed	Remaining
871	19338	2838
872	19359	2816
873	19381	2794
874	19403	2771
875	19430	2750
876	19456	2728
877	19483	2707
878	19509	2685
879	19537	2664
880	19563	2642
881	19586	2620
882	19610	2598
883	19636	2576
884	19661	2554
885	19685	2532
886	19705	2510
887	19726	2488
888	19749	2465
889	19770	2443
890	19792	2421
891	19817	2399
892	19838	2377
893	19859	2354
894	19888	2333
895	19915	2311
896	19938	2289
897	19959	2267
898	19981	2244
899	20003	2222
900	20023	2200
901	20042	2177
902	20061	2154
903	20081	2132
904	20102	2110
905	20126	2088
906	20147	2065
907	20172	2043
908	20194	2021
909	20216	1999
910	20237	1977
911	20261	1955
912	20283	1932
913	20304	1910
914	20326	1888
915	20348	1865
916	20368	1843
917	20391	1821
918	20414	1799
919	20435	1776
920	20456	1754
921	20476	1732
922	20496	1709
923	20519	1687
924	20543	1665
925	20566	1643
926	20587	1621
927	20610	1599
928	20635	1577
929	20654	1554
930	20674	1532
931	20695	1509
932	20717	1487
933	20739	1465
934	20765	1443
935	20785	1421
936	20809	1399
937	20830	1376
938	20852	1354
939	20873	1332
940	20897	1310
941	20919	1288
942	20943	1265
943	20966	1243
944	20991	1221
945	21014	1199
946	21033	1177
947	21055	1154
948	21079	1132
949	21100	1110
950	21123	1088
951	21146	1066
952	21172	1044
953	21194	1021
954	21215	999
955	21240	977
956	21266	955
957	21291	933
958	21313	911
959	21337	889
960	21358	866
961	21381	844
962	21402	822
963	21426	800
964	21447	777
965	21471	755
966	21495	733
967	21518	711
968	21540	689
969	21560	666
970	21578	644
971	21600	622
972	21620	599
973	21643	577
974	21663	555
975	21689	533
976	21711	511
977	21734	488
978	21758	466
979	21782	444
980	21804	422
981	21830	400
982	21852	377
983	21879	355
984	21903	333
985	21926	311
986	21948	289
987	21972	266
988	21997	244
989	22020	222
990	22043	200
991	22066	177
992	22087	155
993	22108	133
994	22132	111
995	22153	88
996	22176	66
997	22199	44
998	22219	22
999	22240	0
